Codice_articolo,Codice_variante,Costo,Data_riferimento
017.PM103,1,90.0,2012-05-08
017.PM103,2,90.0,2012-05-08
017.PM103,3,90.0,2012-05-08
017.PM103,4,90.0,2012-05-08
017.PM103,5,90.0,2012-05-08
017.PM103,6,90.0,2012-05-08
017.PM103,7,90.0,2012-05-08
017.PM103,8,90.0,2012-05-09
017.PM103,9,90.0,2012-05-08
017.PM103,10,90.0,2012-05-08
017.PM103,11,90.0,2012-05-08
017.PM103,12,90.0,2012-05-08
017.PM103,13,90.0,2012-05-08
017.PM103,14,90.0,2012-05-08
017.PM103,16,90.0,2013-06-05
017.PM103,23,150.0,2021-05-05
017.PM103,0,150.0,2021-05-05
017.PM103LM.01.AL,1,80.0,2013-06-05
017.PM103LM.01,1,80.0,2013-06-05
017.PM103LM.01,4,150.0,2015-01-09
017.PM103LM.01,5,150.0,2015-01-09
017.PM103LM.01,6,150.0,2015-01-09
017.PM103LM.01,7,150.0,2015-01-09
017.PM103LM.01,0,83.4,2012-05-25
017.PM103LM.AL,1,50.0,2013-06-05
017.PM103LM.H.01.AL,1,120.0,2013-06-05
017.PM103LM.H.01,2,120.0,2013-06-05
017.PM103LM.H.01,3,180.0,2015-01-09
017.PM103LM.H.01,4,180.0,2015-01-09
017.PM103LM.H.01,5,180.0,2015-01-09
017.PM103LM.H.01,6,180.0,2015-01-09
017.PM103LM.H.AL,1,70.0,2013-06-05
017.PM103LM.H,1,70.0,2013-06-05
017.PM103LM.H,3,90.0,2015-01-09
017.PM103LM.H,4,90.0,2015-01-09
017.PM103LM.H,5,90.0,2015-01-09
017.PM103LM.H,6,90.0,2015-01-09
017.PM103LM.H,0,72.4,2012-05-25
017.PM103LM,1,50.0,2013-06-05
017.PM103LM,3,75.0,2015-01-09
017.PM103LM,4,75.0,2015-01-09
017.PM103LM,5,75.0,2015-01-09
017.PM103LM,6,75.0,2015-01-09
017.PM103LM,0,37.4,2012-05-25
017.PM104,1,180.0,2012-05-08
017.PM104,2,180.0,2012-05-08
017.PM104,3,180.0,2012-05-08
017.PM104,4,180.0,2012-05-08
017.PM104,6,180.0,2012-05-08
017.PM104,7,180.0,2012-05-08
017.PM104,8,180.0,2012-05-08
017.PM104,10,180.0,2013-06-05
017.PM104,16,250.0,2021-05-05
017.PM104,0,250.0,2021-05-05
017.PM104LM,1,80.0,2013-06-05
017.PM104LM,7,150.0,2015-01-09
017.PM104LM,8,150.0,2015-01-09
017.PM104LM,9,150.0,2015-01-09
017.PM104LM,10,150.0,2015-01-09
017.PM104LM,0,83.4,2012-05-25
017.PM105.01,7,300.0,2022-04-08
017.PM105.03,4,300.0,2022-04-08
017.PM105.05,2,300.0,2022-04-08
017.PM105.07,1,300.0,2022-04-08
017.PM105.09,1,300.0,2022-04-08
017.PM105.11,1,300.0,2022-04-08
017.PM105.13,2,250.0,2022-04-08
017.PM105.15,1,250.0,2022-04-08
017.PM105.25,1,350.0,2022-04-08
017.PM105.26,1,350.0,2022-04-08
017.PM105.27,1,270.0,2022-04-08
017.PM105.28,1,270.0,2022-04-08
017.PM105.29,1,350.0,2022-04-08
017.PM105.30,1,350.0,2022-04-08
017.PM105.31,1,350.0,2022-04-08
017.PM105.32,1,350.0,2022-04-08
017.PM105.33,1,270.0,2022-04-08
017.PM105.34,1,270.0,2022-04-08
017.PM105.35,1,350.0,2022-04-08
017.PM105.36,1,350.0,2022-04-08
017.PM106.001,0,128.0,2023-08-28
017.PM106.002,0,153.0,2023-08-28
017.PM106.005,0,133.0,2023-08-28
017.PM106.006,0,159.0,2023-08-28
017.PM106.007,0,43.0,2023-08-28
017.PM106.008,0,49.0,2023-08-28
017.PM106.009,0,133.0,2023-08-28
017.PM106.010,0,159.0,2023-08-28
017.PM106.011,0,168.0,2023-08-28
017.PM106.012,0,175.0,2023-08-28
017.PM106.013,0,52.0,2023-08-28
017.PM106.014,0,175.0,2023-08-28
017.PM106.015,0,179.0,2023-08-28
017.PM106.016,0,186.0,2023-08-28
017.PM106.017,0,55.0,2023-08-28
017.PM106.018,0,186.0,2023-08-28
017.PM107.001,0,165.0,2023-08-28
017.PM107.002,0,200.0,2023-08-28
017.PM107.003,0,165.0,2023-08-28
017.PM107.004,0,200.0,2023-08-28
017.PM107.007,0,130.0,2013-03-14
017.PM107.008,0,168.0,2013-03-14
017.PM107.009,0,172.0,2023-08-28
017.PM107.010,0,207.0,2023-08-28
017.PM107.011,0,172.0,2023-08-28
017.PM107.012,0,207.0,2023-08-28
017.PM107.013,0,52.0,2023-08-28
017.PM107.014,0,59.0,2023-08-28
017.PM107.015,0,52.0,2023-08-28
017.PM107.016,0,59.0,2023-08-28
017.PM107.017,0,172.0,2023-08-28
017.PM107.018,0,207.0,2023-08-28
017.PM107.019,0,172.0,2023-08-28
017.PM107.020,0,207.0,2023-08-28
017.PM107.021,0,220.0,2023-08-28
017.PM107.022,0,220.0,2023-08-28
017.PM107.023,0,228.0,2023-08-28
017.PM107.024,0,228.0,2023-08-28
017.PM107.025,0,63.0,2023-08-28
017.PM107.026,0,63.0,2023-08-28
017.PM107.027,0,228.0,2023-08-28
017.PM107.028,0,228.0,2023-08-28
017.PM107.029,0,234.0,2023-08-28
017.PM107.030,0,234.0,2023-08-28
017.PM107.031,0,243.0,2023-08-28
017.PM107.032,0,243.0,2023-08-28
017.PM107.033,0,67.0,2023-08-28
017.PM107.034,0,67.0,2023-08-28
017.PM107.035,0,243.0,2023-08-28
017.PM107.036,0,243.0,2023-08-28
017.PM108.001,0,128.0,2023-08-28
017.PM109.001,0,165.0,2023-08-28
017.PM110.001,1,300.0,2021-10-26
017.PM110.001,0,300.0,2021-10-26
017.PM110.002,1,300.0,2021-10-26
017.PM110.002,0,300.0,2021-10-26
017.PM110.003,1,300.0,2021-10-26
017.PM110.003,0,300.0,2021-10-26
017.PM110.004,1,300.0,2021-10-26
